SalePeriod,SaleDate,SalesPeriodType,Industry,DataType,ProductCategoryName,Quantity,Units,TOTAL_$
2001-01-01 - 2026-04-12,2021-07-12,Historical,Adult-Use,Delivery Couriers,Infused (edible),28.0,21,646.5
2001-01-01 - 2026-04-12,2021-07-12,Historical,Adult-Use,Delivery Couriers,Infused (non-edible),4.0,3,150.0
2001-01-01 - 2026-04-12,2021-07-12,Historical,Adult-Use,Delivery Couriers,Infused Beverage,3.0,3,43.0
2001-01-01 - 2026-04-12,2021-07-12,Historical,Adult-Use,Delivery Couriers,Infused Pre-Rolls,1.5,2,40.0
2001-01-01 - 2026-04-12,2021-07-12,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,3.75,3,57.0
2001-01-01 - 2026-04-12,2021-07-12,Historical,Adult-Use,Delivery Couriers,Vape Product,21.0,20,847.5
2001-01-01 - 2026-04-12,2021-07-13,Historical,Adult-Use,Delivery Couriers,Buds,164.5,34,2325.33
2001-01-01 - 2026-04-12,2021-07-13,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),13.0,13,700.0
2001-01-01 - 2026-04-12,2021-07-13,Historical,Adult-Use,Delivery Couriers,Infused (edible),14.0,13,430.0
2001-01-01 - 2026-04-12,2021-07-13,Historical,Adult-Use,Delivery Couriers,Infused Beverage,8.0,5,56.0
2001-01-01 - 2026-04-12,2021-07-13,Historical,Adult-Use,Delivery Couriers,Infused Pre-Rolls,6.75,4,180.0
2001-01-01 - 2026-04-12,2021-07-13,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,32.75,12,462.0
2001-01-01 - 2026-04-12,2021-07-13,Historical,Adult-Use,Delivery Couriers,Vape Product,33.0,32,1805.0
2001-01-01 - 2026-04-12,2021-07-13,Historical,Adult-Use,Delivery Operators,Buds,8.5,3,133.35
2001-01-01 - 2026-04-12,2021-07-13,Historical,Adult-Use,Delivery Operators,Infused (edible),13.0,11,341.69
2001-01-01 - 2026-04-12,2021-07-13,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,38.5,5,641.74
2001-01-01 - 2026-04-12,2021-07-14,Historical,Adult-Use,Delivery Couriers,Buds,43.0,8,625.0
2001-01-01 - 2026-04-12,2021-07-14,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),4.0,4,220.0
2001-01-01 - 2026-04-12,2021-07-14,Historical,Adult-Use,Delivery Couriers,Infused (edible),42.0,33,1155.5
2001-01-01 - 2026-04-12,2021-07-14,Historical,Adult-Use,Delivery Couriers,Infused (non-edible),2.0,2,40.0
2001-01-01 - 2026-04-12,2021-07-14,Historical,Adult-Use,Delivery Couriers,Infused Beverage,16.0,7,112.0
2001-01-01 - 2026-04-12,2021-07-14,Historical,Adult-Use,Delivery Couriers,Infused Pre-Rolls,0.75,1,20.0
2001-01-01 - 2026-04-12,2021-07-14,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,3.0,2,45.0
2001-01-01 - 2026-04-12,2021-07-14,Historical,Adult-Use,Delivery Couriers,Vape Product,18.0,13,845.0
2001-01-01 - 2026-04-12,2021-07-14,Historical,Adult-Use,Delivery Operators,Buds,7.0,1,100.0
2001-01-01 - 2026-04-12,2021-07-14,Historical,Adult-Use,Delivery Operators,Infused (edible),4.0,4,112.51
2001-01-01 - 2026-04-12,2021-07-15,Historical,Adult-Use,Delivery Couriers,Buds,123.0,26,1722.23
2001-01-01 - 2026-04-12,2021-07-15,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),14.0,11,925.0
2001-01-01 - 2026-04-12,2021-07-15,Historical,Adult-Use,Delivery Couriers,Infused (edible),54.0,49,1531.16
2001-01-01 - 2026-04-12,2021-07-15,Historical,Adult-Use,Delivery Couriers,Infused Beverage,8.0,4,111.0
2001-01-01 - 2026-04-12,2021-07-15,Historical,Adult-Use,Delivery Couriers,Infused Pre-Rolls,2.25,3,60.0
2001-01-01 - 2026-04-12,2021-07-15,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,34.25,12,462.32
2001-01-01 - 2026-04-12,2021-07-15,Historical,Adult-Use,Delivery Couriers,Vape Product,35.0,29,1820.02
